rank,nameWithOwner,stars,language,isArchived,isFork,createdAt
1,codecrafters-io/build-your-own-x,483286,Markdown,False,False,2018-05-09T12:03:18Z
2,sindresorhus/awesome,448721,,False,False,2014-07-11T13:42:37Z
3,freeCodeCamp/freeCodeCamp,438819,TypeScript,False,False,2014-12-24T17:49:19Z
4,public-apis/public-apis,415916,Python,False,False,2016-03-20T23:49:42Z
5,EbookFoundation/free-programming-books,384559,Python,False,False,2013-10-11T06:50:37Z
6,kamranahmedse/developer-roadmap,351652,TypeScript,False,False,2017-03-15T13:45:52Z
7,donnemartin/system-design-primer,340155,Python,False,False,2017-02-26T16:15:28Z
8,jwasham/coding-interview-university,338231,,False,False,2016-06-06T02:34:12Z
9,openclaw/openclaw,335404,TypeScript,False,False,2025-11-24T10:16:47Z
10,vinta/awesome-python,288899,Python,False,False,2014-06-27T21:00:06Z
11,awesome-selfhosted/awesome-selfhosted,281978,,False,False,2015-06-01T02:33:17Z
12,996icu/996.ICU,275805,,False,False,2019-03-26T07:31:14Z
13,practical-tutorials/project-based-learning,261644,,False,False,2017-04-12T05:07:46Z
14,facebook/react,244174,JavaScript,False,False,2013-05-24T16:15:54Z
15,torvalds/linux,225005,C,False,False,2011-09-04T22:48:12Z
16,TheAlgorithms/Python,219039,Python,False,False,2016-07-16T09:44:01Z
17,trimstray/the-book-of-secret-knowledge,211586,,False,False,2018-06-23T10:43:14Z
18,vuejs/vue,209961,TypeScript,False,False,2013-07-29T03:24:51Z
19,ossu/computer-science,202720,HTML,False,False,2014-05-04T00:18:39Z
20,trekhleb/javascript-algorithms,195781,JavaScript,False,False,2018-03-24T07:47:04Z
21,tensorflow/tensorflow,194331,C++,False,False,2015-11-07T01:19:20Z
22,ohmyzsh/ohmyzsh,185616,Shell,False,False,2009-08-28T18:15:37Z
23,getify/You-Dont-Know-JS,184535,,False,False,2013-11-16T02:37:24Z
24,CyC2018/CS-Notes,184029,,False,False,2018-02-13T14:56:24Z
25,microsoft/vscode,183051,TypeScript,False,False,2015-09-03T20:23:38Z
26,Significant-Gravitas/AutoGPT,182813,Python,False,False,2023-03-16T09:21:07Z
27,n8n-io/n8n,180989,TypeScript,False,False,2019-06-22T09:24:21Z
28,jackfrued/Python-100-Days,180159,Jupyter Notebook,False,False,2018-03-01T16:05:52Z
29,flutter/flutter,175699,Dart,False,False,2015-03-06T22:54:58Z
30,twbs/bootstrap,174106,MDX,False,False,2011-07-29T21:19:00Z
31,github/gitignore,173178,,False,False,2010-11-08T20:17:14Z
32,massgravel/Microsoft-Activation-Scripts,169935,Batchfile,False,False,2020-01-12T23:03:34Z
33,avelino/awesome-go,168198,Go,False,False,2014-07-06T13:42:15Z
34,ollama/ollama,166121,Go,False,False,2023-06-26T19:39:32Z
35,AUTOMATIC1111/stable-diffusion-webui,161989,Python,False,False,2022-08-22T14:05:26Z
36,jlevy/the-art-of-command-line,160486,,False,False,2015-05-20T15:11:03Z
37,huggingface/transformers,158383,Python,False,False,2018-10-29T13:56:00Z
38,Snailclimb/JavaGuide,154464,Java,False,False,2018-05-07T13:27:00Z
39,f/prompts.chat,154190,HTML,False,False,2022-12-05T13:54:13Z
40,DigitalPlatDev/FreeDomain,154151,HTML,False,False,2024-05-30T13:23:00Z
41,yt-dlp/yt-dlp,153213,Python,False,False,2020-10-26T04:22:55Z
42,airbnb/javascript,148112,JavaScript,False,False,2012-11-01T23:13:50Z
43,521xueweihan/HelloGitHub,147391,Python,False,False,2016-05-04T06:24:11Z
44,langflow-ai/langflow,146218,Python,False,False,2023-02-08T22:28:03Z
45,ytdl-org/youtube-dl,139941,Python,False,False,2010-10-31T14:35:07Z
46,vercel/next.js,138473,JavaScript,False,False,2016-10-05T23:32:51Z
47,yangshun/tech-interview-handbook,138356,TypeScript,False,False,2016-07-05T05:00:48Z
48,Genymobile/scrcpy,137507,C,False,False,2017-11-21T18:00:27Z
49,langgenius/dify,134398,TypeScript,False,False,2023-04-12T07:40:24Z
50,x1xhlol/system-prompts-and-models-of-ai-tools,133189,,False,False,2025-03-05T16:38:29Z
51,golang/go,133156,Go,False,False,2014-08-19T04:33:40Z
52,labuladong/fucking-algorithm,133134,Markdown,False,False,2020-02-19T09:01:23Z
53,langchain-ai/langchain,131036,Python,False,False,2022-10-17T02:58:36Z
54,microsoft/PowerToys,130922,C#,False,False,2019-05-01T17:44:02Z
55,anomalyco/opencode,130096,TypeScript,False,False,2025-04-30T20:08:00Z
56,open-webui/open-webui,128625,Python,False,False,2023-10-06T22:08:27Z
57,Chalarangelo/30-seconds-of-code,127213,JavaScript,False,False,2017-11-29T17:35:03Z
